annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2024-2025,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-CENTRE,Total établissement,,87255,16126,6380,11.385985213,56245,5.0033722998,60334,6315,2242,6.5440764098,29399,6.0532846355,26921,9678,2564,22.237429279,26846,3.8536154362,9811,4138
2024-2025,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,Total établissement,,91507,18471,5258,10.66797921,69115,4.5003172852,50677,6430,1776,5.8723960629,28725,5.3149539696,40830,9324,2181,16.62011654,40390,3.9209550975,12041,3482
2024-2025,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,Total établissement,,63879,11362,4090,12.547020239,51297,2.4903946949,41032,3474,1703,5.9890101086,28886,3.4392008239,22847,7894,3546,24.32485854,22411,1.2674589115,7888,2387
2020-2021,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,9651,1836,518,4.7356648419,8131,1.5169539417,6519,635,285,2.6602717271,5013,1.7511917902,3132,59,0,9.0554246488,3118,1.1403553738,1201,233
2020-2021,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,4071,594,138,2.8407382161,3645,1.0574650968,3405,370,107,2.1907146353,2991,1.1618997734,666,10,0,6.1640569736,654,0.5798441216,224,31
2020-2021,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,3966,598,102,1.4128586037,3415,0.5387676102,3671,501,91,1.0356906989,3126,0.5472016955,295,0,0,6.1063615819,289,0.4475394079,97,11
2020-2021,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,6919,1088,235,3.7412303078,6422,1.1145625714,4052,415,140,2.5731553691,3616,1.2266574484,2867,13,0,5.3920986901,2806,0.9701095866,673,95
2020-2021,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,9065,1678,446,4.0674825336,8059,1.7737947567,6681,809,242,3.2368115635,5721,2.0207635611,2384,39,0,6.3953821775,2338,1.1694711767,869,204
2020-2021,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,5920,987,195,3.3611951952,5448,0.8626312408,4451,491,94,1.7172098654,3986,0.9904693511,1469,33,0,8.342392406,1462,0.5140931373,496,101
2020-2021,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,7242,1267,208,3.6387322409,6702,1.0934625651,5556,632,101,2.2483589813,5024,1.1708843109,1686,8,0,8.220531666,1678,0.8616587207,635,107
2020-2021,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,16303,2948,1012,4.4820277965,13333,1.5662739902,11135,1118,650,3.0982513346,8193,1.8135359114,5168,34,0,7.4635198443,5140,1.1721461846,1830,362
2020-2021,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,15503,2320,665,4.117366585,12918,1.8443498521,11339,1167,257,2.7443298204,8819,1.9828111023,4164,101,11,7.8562868236,4099,1.5464504215,1153,408
2020-2021,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,27674,4278,1743,6.2276794605,24977,1.3958210999,14338,1116,519,2.3955225818,11748,1.6320494269,13336,1118,54,10.347765343,13229,1.1860387742,3162,1224
2020-2021,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,9244,1543,342,4.4408553897,8418,1.4439624086,7482,891,150,2.6751019113,6666,1.5503584108,1762,222,54,11.938793826,1752,1.0391474822,652,192
2020-2021,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,7961,1156,261,4.3981103016,7330,1.820247802,6067,536,143,2.9696828471,5451,2.0482755967,1894,44,1,8.9737541065,1879,1.1587366211,620,118
2020-2021,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,12522,1749,770,4.1312487356,11400,1.6444453216,8485,675,226,2.6621074445,7400,1.8286957583,4037,73,1,7.219102056,4000,1.3035820139,1074,544
2020-2021,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,13803,2346,600,6.0302141644,11606,2.551771689,8758,812,246,3.8838712542,6642,2.8864414166,5045,141,3,9.7562144037,4964,2.103972267,1534,354
2020-2021,8,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,51217594,37902,3706,3869,7.6178072177,32906,1.5513352006,21238,709,1037,4.0808557905,16276,2.1717030529,16664,1917,448,12.125594929,16630,0.944173014,2997,2832
2020-2021,8,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DE L'ENFANT-JÉSUS,51233914,33094,5149,4393,10.566546386,29973,1.3992397324,18304,1581,1036,3.6170005342,15195,1.8220502907,14790,3842,1221,19.167255465,14778,0.9644984662,3568,3357
2020-2021,8,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,16197,3402,534,7.5429408224,13785,1.544659352,11384,1268,221,3.0707119398,8983,1.8604318961,4813,1254,323,18.120928273,4802,0.9539503216,2134,313
2020-2021,8,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL SAINT-FRANÇOIS D'ASSISE,51217602,21742,4802,781,10.45739461,18484,1.732954928,12315,1272,314,4.0594627148,9081,2.3090715964,9427,2782,528,18.815359104,9403,1.1765670235,3530,467
2020-2021,8,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,L'HÔTEL-DIEU DE QUÉBEC,51217586,9905,2327,528,8.223285518,8998,1.401642649,4615,554,195,3.351007283,3760,1.6134145981,5290,650,17,12.473864734,5238,1.2496261296,1773,333
2020-2021,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,51225001,15799,1059,272,2.4654990119,12462,1.2548401139,13867,888,221,2.2020008533,10551,1.3133974663,1932,0,0,4.3567665919,1911,0.9315336647,171,51
2020-2021,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL,51244804,5720,1086,165,3.949904089,4463,1.3070556676,4368,605,69,2.3204838217,3120,1.4930665064,1352,55,3,9.2141849523,1343,0.8749232647,481,96
2020-2021,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-MARC-DES-CARRIÈRES,51247344,7153,1018,202,2.8706835127,6066,1.1749352951,5705,546,125,1.9939498004,4635,1.3394675177,1448,20,0,6.324941682,1431,0.6420164609,472,77
2020-2021,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND,51247302,9251,1282,220,3.7450157641,7775,1.7344963558,7207,600,134,2.7262984675,5759,1.9757880901,2044,49,0,7.3369411829,2016,1.0452110891,682,86
2020-2021,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ,51225357,7332,807,131,2.8400537219,5245,1.142064347,6411,499,101,2.1121275065,4334,1.211372353,921,31,2,7.9070840873,911,0.8123377851,308,30
2020-2021,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,HÔPITAL ET CLSC DE LA MALBAIE,51228690,6841,1047,256,4.7983183095,5688,1.212570177,5467,603,162,2.3934366299,4317,1.3888120608,1374,230,44,14.367086972,1371,0.6576203501,444,94
2020-2021,8,03,Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC,51232130,13776,4138,373,7.5235860071,13149,1.4717186985,6805,1292,211,3.6939644053,6185,1.905274634,6971,481,0,11.262013062,6964,1.0866607633,2846,162
2020-2021,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX AVELLIN-DALCOURT,51233583,9906,1386,263,4.4742218521,8820,2.3208219955,8198,719,169,3.4127481974,7118,2.5754546377,1708,61,3,9.5690468059,1702,1.2559129782,667,94
2020-2021,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHRIST-ROI,51246338,9088,1021,315,3.8939763363,7690,1.9671604537,7496,488,206,2.4749874007,6110,2.0804123477,1592,133,15,10.57534635,1580,1.5292053446,533,109
2020-2021,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORTIERVILLE,51219160,5342,535,137,1.6012193727,4881,0.8152863143,4940,442,127,1.4803359762,4479,0.8450891196,402,0,0,3.0867019071,402,0.4832296849,93,10
2020-2021,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU HAUT-SAINT-MAURICE,51219731,6235,954,319,4.0067346075,5256,1.8667078894,4706,503,166,2.7415713392,3744,2.0305021368,1529,42,0,7.9006903568,1512,1.461122134,451,153
2020-2021,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔPITAL DU CENTRE-DE-LA-MAURICIE,51220051,17131,3205,1286,5.7404614117,14211,1.6901866903,9561,732,284,3.0505203431,6700,2.2149676617,7570,244,2,9.1378889623,7511,1.2220689285,2473,1002
2020-2021,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔPITAL SAINTE-CROIX,51228781,21050,3034,1516,6.6458084587,17898,2.0686654934,12912,839,651,4.1557685357,9863,2.5473485361,8138,596,13,10.59658205,8035,1.4810798244,2195,865
2020-2021,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔTEL-DIEU D'ARTHABASKA,51228039,17898,2924,1021,4.6419704716,14481,1.571089416,10169,855,235,2.6136383999,6861,1.9614554487,7729,134,0,7.3106350901,7620,1.2196062992,2069,786
2020-2021,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,PAVILLON SAINTE-MARIE,51220168,31012,6470,2262,8.9765597009,25109,2.2279420062,16546,1422,621,4.0679831144,10747,3.2139815504,14466,2643,152,14.590918072,14362,1.4900944236,5048,1641
2020-2021,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832,7452,1024,288,6.3870267862,6433,3.0104308082,5782,507,170,4.7257982148,4771,3.2928372226,1670,207,10,12.138657685,1662,2.199744284,517,118
2020-2021,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK,51247617,7177,560,251,2.9249469757,6370,1.6409545613,5363,291,174,2.2029735637,4591,1.715554285,1814,12,0,5.0594251501,1779,1.4484377928,269,77
2020-2021,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG,51219046,11162,2169,438,6.250990837,9215,2.6829859227,7545,834,187,3.7881124365,5699,2.8700851514,3617,409,24,11.388512963,3516,2.3797212742,1335,251
2020-2021,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES SOURCES,51247583,7986,953,289,3.5801449411,6380,2.0371464646,6897,597,198,2.7718935769,5297,2.1654282823,1089,54,1,8.6990702479,1083,1.4097145275,356,91
2020-2021,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CHUS - HÔPITAL FLEURIMONT,51216687,22905,3306,498,7.2834635815,20856,1.7680147999,11664,604,216,4.7493627115,9617,2.7533880975,11241,792,32,9.9129229309,11239,0.9248494825,2702,282
2020-2021,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CHUS - HÔTEL-DIEU DE SHERBROOKE,51216695,25103,4552,3482,9.1263667025,22058,1.8179383141,11302,1007,694,4.0023417684,8275,2.538735146,13801,2081,482,13.32256479,13783,1.3851882754,3545,2788
2020-2021,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,HÔPITAL BROME-MISSISQUOI-PERKINS,51229185,13939,2048,443,8.2629303473,12066,2.3791698897,9783,716,213,4.1767875396,7936,2.6805947581,4156,1039,327,17.881490282,4130,1.7999670433,1332,230
2020-2021,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,HÔPITAL DE GRANBY,51228120,19763,3002,1390,8.4142632135,16650,2.2951999333,13220,1007,533,4.2887325601,10130,2.7851255073,6543,1612,252,16.749814985,6520,1.5340118865,1995,857
2020-2021,8,06,Montréal,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,51236297,32083,4579,2431,12.331034651,27985,2.1884901138,19053,1296,999,5.8164455,15018,2.9235622808,13030,4866,956,21.856933892,12967,1.3371510372,3283,1432
2020-2021,8,06,Montréal,CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,CHU SAINTE-JUSTINE,51222800,29115,0,838,4.2157942832,27871,1.084297966,19972,0,411,3.4393042343,18814,1.2282565288,9143,17,0,5.9119617619,9057,0.78525453,0,427
2020-2021,8,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL DE LACHINE,51228310,8382,1485,411,9.5699912511,7739,2.0593270377,4892,463,111,3.8656133597,4350,2.2066302682,3490,830,217,17.565927252,3389,1.8702538441,1022,300
2020-2021,8,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL GÉNÉRAL DE MONTRÉAL,51248219,15117,2591,1895,12.540893512,13926,1.2018017657,4077,293,243,4.3825773308,3018,1.7140869597,11040,2062,586,15.553706471,10908,1.060063893,2298,1652
2020-2021,8,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL ROYAL VICTORIA,51223295,23654,3630,702,13.018044928,20534,2.5513048413,14188,907,329,6.1063329731,11102,3.1359485028,9466,3344,1131,23.37758108,9432,1.8631460277,2723,373
2020-2021,8,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,L'HÔPITAL DE MONTRÉAL POUR ENFANTS,51223279,23998,3,921,4.6539893371,23598,0.9706786592,16249,0,331,3.6204752771,15868,1.0863617903,7749,103,4,6.8211812277,7730,0.7332064827,3,590
2020-2021,8,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL MAISONNEUVE-ROSEMONT,12934659,33774,6501,2925,12.98598474,28001,2.5811413878,18366,1429,737,5.0598734981,12706,3.5362680798,15408,5558,1563,22.433736497,15295,1.7876899495,5072,2188
2020-2021,8,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL SANTA CABRINI,51235919,18773,4534,916,13.61069784,16752,2.6989570068,11184,1139,356,5.1568203833,9183,3.5763063088,7589,3187,1266,26.069278085,7569,1.6345233115,3395,560
2020-2021,8,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,INSTITUT UNIVERSITAIRE EN SANTÉ MENTALE DE MONTRÉAL,51235307,2459,117,2447,14.508813429,2370,1.2267686357,1152,32,1146,3.6562065972,1063,1.4272747465,1307,522,198,24.074385786,1307,1.0636944232,85,1301
2020-2021,8,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,CENTRE HOSPITALIER DE ST. MARY,51248243,18576,3305,1560,8.402760641,18012,1.4705046636,12220,1054,538,4.1069120522,11664,1.6520740693,6356,1419,137,16.661928318,6348,1.1368837517,2251,1022
2020-2021,8,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DE LASALLE,51224392,13875,1752,497,8.1441063063,12477,2.7271157819,10195,576,190,5.100590431,8814,3.1341284699,3680,982,49,16.57580314,3663,1.7477519186,1176,307
2020-2021,8,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DOUGLAS,51235190,3224,91,3096,12.27200467,2953,2.6043406893,1288,31,1177,3.8119522084,1020,2.3236928105,1936,486,66,17.900386679,1933,2.7524321722,60,1919
2020-2021,8,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL GÉNÉRAL DU LAKESHORE,51228278,19786,3915,1157,12.542426814,18638,1.8165738157,11496,923,187,5.4961794682,10378,2.248766354,8290,2855,900,22.313676451,8260,1.2735599946,2992,970
2020-2021,8,06,Montréal,CIUSSS DU CENTRE-OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL GÉNÉRAL JUIF,51248250,38652,7201,2112,8.1398282323,36495,1.1804388272,15244,841,248,3.2616554236,13305,1.3154567205,23408,2402,363,11.316642411,23190,1.1029738393,6360,1864
2020-2021,8,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DE VERDUN,51218097,20019,2874,1625,9.7707053299,18108,1.3358239452,11586,785,474,3.4659391363,9983,1.7105260888,8433,2674,637,18.432749812,8125,0.8754360684,2089,1151
2020-2021,8,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL NOTRE-DAME,51236313,19305,2413,3009,12.387460071,17094,2.0026105651,10904,560,1076,4.8280265397,8881,2.5992476135,8401,2940,978,22.199156681,8213,1.3574463588,1853,1933
2020-2021,8,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DU SACRÉ-COEUR-DE-MONTRÉAL,12475976,28193,5065,1532,10.931474716,25580,1.6788122882,17663,1411,711,4.7028053621,15071,2.2469183826,10530,3360,1181,21.379431677,10509,0.8640890084,3654,821
2020-2021,8,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL EN SANTÉ MENTALE ALBERT-PRÉVOST,51848752,1872,72,1869,16.086956167,1852,0.3247777178,726,22,723,3.2937117386,706,0.4851994806,1146,469,119,24.191576983,1146,0.2259489529,50,1146
2020-2021,8,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL FLEURY,51228492,16198,2391,861,7.8244908494,13558,2.3874684483,12057,918,441,4.1978304443,9434,2.77944521,4141,1205,108,18.383931686,4124,1.4907883393,1473,420
2020-2021,8,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL JEAN-TALON,51228500,19204,2353,1638,7.8418100106,16349,2.3014378215,13778,667,722,4.6936775213,10937,2.8730554032,5426,1183,101,15.83572255,5412,1.1462675536,1686,916
2020-2021,8,06,Montréal,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,51248201,9828,2603,346,8.4883215755,9612,1.1171685856,6171,1173,299,3.1135543042,5957,1.2380328465,3657,985,107,17.557965773,3655,0.9201813345,1430,47
2020-2021,8,07,Outaouais,CISSS DE L'OUTAOUAIS,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MANSFIELD-ET-PONTEFRACT,51245058,4687,523,163,3.9555776616,3738,1.6541995125,4506,485,160,3.7593418652,3557,1.6643975104,181,8,1,8.8408732351,181,1.4537891344,38,3
2020-2021,8,07,Outaouais,CISSS DE L'OUTAOUAIS,CLSC ET CENTRE D'HÉBERGEMENT DE LA PETITE-NATION,51219491,4787,642,179,2.4700036557,4001,0.8691786081,4296,510,158,2.2539302064,3512,0.9120283631,491,2,0,4.3605363204,489,0.5614314928,132,21
2020-2021,8,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL DE GATINEAU,51221703,19315,2563,2438,9.9193175856,13966,2.5935355108,11388,820,678,3.6964102076,6151,2.7260040373,7927,2037,661,18.85920269,7815,2.489272695,1743,1760
2020-2021,8,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL DE HULL,51221711,17149,3091,725,10.210986274,12624,2.4549208078,10104,793,428,3.9560619557,5671,2.7841226317,7045,1912,637,19.18185289,6953,2.1864174936,2298,297
2020-2021,8,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL DE MANIWAKI,51221893,7766,941,391,4.9313564469,6299,2.1358989522,5499,428,193,3.1793591764,4106,2.3085751881,2267,140,49,9.181128388,2193,1.8125936059,513,198
2020-2021,8,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL ET CHSLD DE PAPINEAU,51228823,11183,1348,531,7.1576548978,8741,2.9744841043,7958,458,190,3.7803377454,5579,3.0068436199,3225,597,92,15.491512231,3162,2.9173893106,890,341
2020-2021,8,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL ET CHSLD DU PONTIAC,51219459,5243,666,159,4.738948916,4783,1.7553807466,4586,520,116,4.0391197849,4130,1.7929546677,657,29,0,9.623905378,653,1.5177386422,146,43
2020-2021,8,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL ET CHSLD MÉMORIAL DE WAKEFIELD / WAKEFIELD MEMORIAL HOSPITAL,51228799,7091,632,211,5.1363176327,5981,2.1455649371,5964,411,164,3.6725432223,4866,2.279003231,1127,177,37,12.882502711,1115,1.5632234679,221,47
2020-2021,8,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA SARRE,51247559,8515,1085,458,3.7792437855,8000,1.1876795833,7221,681,403,3.1538687316,6710,1.2339418778,1294,35,0,7.2690685643,1290,0.9470439276,404,55
2020-2021,8,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TÉMISCAMING-KIPAWA,51247476,2415,224,129,2.4699503106,2235,0.7075162814,2394,216,127,2.3836202775,2214,0.7073224681,21,3,0,12.311574074,21,0.7279497354,8,2
2020-2021,8,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE VILLE-MARIE,51247542,6049,852,348,4.0041142246,5455,1.8228761075,5335,637,277,3.3670136936,4745,1.8836845217,714,17,0,8.7645222533,710,1.4164874804,215,71
2020-2021,8,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,HÔPITAL D'AMOS,51228906,9204,982,428,3.9375997755,7990,0.7287966555,6660,366,338,1.7667551718,5449,0.8331839175,2544,214,29,9.6207071104,2541,0.5049453409,616,90
2020-2021,8,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,HÔPITAL DE ROUYN-NORANDA,51228922,12789,1697,769,5.3735593305,10496,2.4527669271,10017,836,482,4.1912097213,7737,2.757438499,2772,168,4,9.646140873,2759,1.5983834723,861,287
2020-2021,8,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,HÔPITAL DE VAL-D'OR,51225589,14978,1627,1169,6.249873036,12457,2.8715710935,11853,840,828,4.1930482203,9343,3.2921246744,3125,550,77,14.051327289,3114,1.6097752979,787,341
2020-2021,8,09,Côte-Nord,CISSS DE LA CÔTE-NORD,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FERMONT,51245108,2267,5,128,5.4447448905,1933,1.5178012014,2174,5,121,5.4714923847,1840,1.5322924215,93,0,0,4.8194862605,93,1.23109319,0,7
2020-2021,8,09,Côte-Nord,CISSS DE LA CÔTE-NORD,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORESTVILLE,51218741,5334,716,195,2.6064420072,4256,1.2079890481,4517,505,152,1.9565244262,3561,1.282429639,817,25,2,6.1996827825,695,0.8265747402,211,43
2020-2021,8,09,Côte-Nord,CISSS DE LA CÔTE-NORD,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD,51245140,1741,248,74,3.4175844023,1705,1.1884410231,1485,171,65,3.2097572016,1452,1.2102219161,256,1,0,4.6231445313,253,1.0634376372,77,9
2020-2021,8,09,Côte-Nord,CISSS DE LA CÔTE-NORD,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MINGANIE,51245116,5740,457,184,2.4979883372,2280,1.6693044591,4320,310,96,1.832221322,1253,1.8474600958,1420,1,1,4.5234203834,1027,1.451944174,147,88
